                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 0.8037,                0.65916,                0.83356,                 1.0094,                0.74951,                 0.8376,                0.82346,                0.85031,                0.92199,                0.74832,                0.65604,                0.64859,                0.80289,                0.78488,                0.62069,                0.81342,               0.008812,               0.008812,               0.008812
                     39,                0.77881,                0.62249,                0.83674,                0.99325,                0.69449,                 0.8371,                 0.8592,                 0.8371,                0.92667,                0.75425,                0.64917,                0.63084,                0.80051,                0.77116,                0.68882,                0.80606,               0.008779,               0.008779,               0.008779
                     40,                0.77236,                0.64123,                0.83328,                0.98995,                0.72635,                0.83766,                0.83685,                0.85551,                 0.9192,                 0.7293,                0.66932,                0.62501,                0.80141,                0.82328,                0.60968,                0.81735,               0.008746,               0.008746,               0.008746
                     41,                0.79029,                0.64056,                0.83339,                 1.0139,                0.71744,                0.83912,                 0.8355,                0.82375,                0.93851,                0.76733,                 0.6761,                0.75472,                0.80385,                0.77292,                0.64392,                0.81556,               0.008713,               0.008713,               0.008713
                     42,                0.76909,                0.61436,                 0.8316,                0.99168,                0.68906,                0.83458,                0.86932,                0.83181,                0.92296,                0.74451,                0.71053,                0.77078,                0.81413,                0.78332,                0.69458,                0.81178,                0.00868,                0.00868,                0.00868
                     43,                0.79973,                0.63963,                0.83312,                 1.0207,                 0.7218,                0.83691,                0.85434,                0.83243,                0.93267,                0.75432,                0.66473,                0.64138,                 0.8072,                0.78535,                0.62459,                0.81087,               0.008647,               0.008647,               0.008647
                     44,                0.79239,                0.65046,                0.83582,                 1.0106,                0.74106,                0.83608,                0.85047,                0.76787,                0.89971,                0.74038,                0.63729,                0.73585,                 0.8084,                0.75778,                0.76694,                0.81201,               0.008614,               0.008614,               0.008614
                     45,                0.75723,                0.63086,                0.83055,                0.98796,                0.72245,                0.83273,                0.69946,                0.82805,                0.87007,                0.70393,                0.67858,                0.93817,                0.80722,                0.78452,                0.81651,                0.81143,               0.008581,               0.008581,               0.008581
                     46,                0.76623,                0.62068,                0.82966,                0.98418,                 0.6987,                0.83349,                0.80991,                  0.772,                0.93379,                0.76319,                0.65204,                0.63894,                0.80026,                0.74794,                0.78993,                0.81059,               0.008548,               0.008548,               0.008548
                     47,                0.78503,                0.63924,                0.83058,                0.98651,                0.73173,                0.83296,                0.83756,                0.72167,                0.88889,                0.71405,                0.67695,                0.75907,                0.80398,                0.80306,                 0.9525,                0.81573,               0.008515,               0.008515,               0.008515
                     48,                0.76422,                0.59827,                0.83304,                0.97186,                0.67189,                0.83652,                0.83954,                0.85529,                0.94233,                0.78393,                0.63582,                 0.5847,                0.80391,                0.71649,                0.65991,                0.81241,               0.008482,               0.008482,               0.008482
                     49,                0.76162,                0.58838,                0.82402,                0.97021,                0.65411,                 0.8262,                0.89695,                0.87572,                0.94588,                0.79079,                0.60174,                0.54969,                0.79596,                0.69441,                0.47919,                0.79922,               0.008449,               0.008449,               0.008449
                     50,                0.76322,                0.59954,                0.82683,                0.98163,                0.65957,                0.83126,                0.85008,                0.87418,                0.94856,                 0.7731,                0.64241,                0.58722,                0.79938,                0.76238,                0.54376,                0.80845,               0.008416,               0.008416,               0.008416
                     51,                0.75789,                0.58659,                0.83132,                0.96833,                0.63057,                0.83199,                0.84448,                0.81758,                0.90462,                0.74496,                0.66124,                0.71149,                0.80319,                0.73055,                0.86741,                0.81041,               0.008383,               0.008383,               0.008383
                     52,                0.77042,                 0.6231,                0.83302,                0.98317,                0.66975,                0.83732,                0.83661,                0.84849,                0.92948,                0.76074,                0.63342,                0.71386,                0.79963,                 0.7499,                0.66723,                0.80706,                0.00835,                0.00835,                0.00835
